ID;Imagen;Nombre;Referencia;Categoría;Precio base;Precio final;Cantidad;Estado
255;http://yalobox.com/img/p/2/7/5/275.jpg;Comino ILE Sobre 50g;;Home;0.51;0.51;12;1
198;http://yalobox.com/img/p/2/1/9/219.jpg;Papel Higiénico Húmedo Pompi Fresh Kids 50 Unidades;;Home;3.95;3.95;3;1
142;http://yalobox.com/img/p/1/6/3/163.jpg;Desodorante Spray Rexona V8 Men;;Home;4.74;4.74;1;1
319;http://yalobox.com/img/p/3/4/1/341.jpg;Bombones de Chocolate Montblanc Estuche 12 Unidades;;Home;7.82;7.82;1;1
84;http://yalobox.com/img/p/1/0/3/103.jpg;Papel Higiénico Familia Grande 4 Rollos;;Home;2.51;2.51;3;1
263;http://yalobox.com/img/p/2/8/3/283.jpg;Chimichurri ILE Botella 200ml;;Home;0.70;0.70;2;1
26;http://yalobox.com/img/p/4/3/43.jpg;Leche Entera Funda Nutri 1 L;;Lacteos;0.85;0.85;24;1
206;http://yalobox.com/img/p/2/2/7/227.jpg;Té de Toronjil Pusuquí Caja 25 sobres;;Home;0.88;0.88;3;1
150;http://yalobox.com/img/p/1/7/1/171.jpg;Tinapa Real En Salsa De Tomate;;Home;0.82;0.82;5;1
327;http://yalobox.com/img/p/3/5/0/350.jpg;Colcafé Capuccino French Vainilla Lata 270g;;Home;6.76;6.76;1;1
92;http://yalobox.com/img/p/1/1/1/111.jpg;Desodorante AXE Musk 150ml;;Home;4.74;4.74;4;1
271;http://yalobox.com/img/p/2/9/3/293.jpg;Pilas Energizer Alkalina D2;;Home;3.77;3.77;2;1
34;http://yalobox.com/img/p/5/3/53.jpg;Yogurt Nutri Mora 200 g con cereal;;Alimentación;0.65;0.65;0;1
215;http://yalobox.com/img/p/2/3/5/235.jpg;Fideo Spaguetti Don Vittorio 400g;;Home;1.54;1.54;4;1
158;http://yalobox.com/img/p/1/7/9/179.jpg;Mermelada Piña Snob Frasco 290g;;Home;1.69;1.69;0;1
335;http://yalobox.com/img/p/3/5/8/358.jpg;Notas Adhesivas Memo Tip;;Home;2.71;2.71;5;1
100;http://yalobox.com/img/p/1/2/0/120.jpg;Antitranspirante Stick Dove Clear Tone 50g;;Home;4.83;4.83;3;1
279;http://yalobox.com/img/p/3/0/1/301.jpg;Encendedor BIC Maxi;;Home;1.25;1.25;13;1
223;http://yalobox.com/img/p/2/4/3/243.jpg;Atún Van Camps en Agua 184g;;Home;1.48;1.48;5;1
46;http://yalobox.com/img/p/6/3/63.jpg;Galletas Amor Chocolate Nestle 175g;;Home;1.14;1.14;0;1
226;http://yalobox.com/img/p/2/4/6/246.jpg;Caramelos American Toffee Frutos Secos;;Home;2.85;2.85;2;1
169;http://yalobox.com/img/p/1/9/0/190.jpg;Jabón en Barra Deja Floral 350g;;Home;0.81;0.81;3;1
346;http://yalobox.com/img/p/3/6/9/369.jpg;Esfero BIC Cristal Azul;;Home;0.32;0.32;28;1
112;http://yalobox.com/img/p/1/3/4/134.jpg;Papel Higiénico Familia Ultrasuave x4;;Home;4.73;4.73;2;1
290;http://yalobox.com/img/p/3/1/2/312.jpg;Detergente Líquido Deja Baby 1,9 Lt;;Home;6.69;6.69;1;1
54;http://yalobox.com/img/p/7/2/72.jpg;Leche Saborizada de Chocolate Nutri 200ml;;Home;0.48;0.48;0;1
234;http://yalobox.com/img/p/2/5/4/254.jpg;Pastillas Jazz La Voz Compact;;Home;0.44;0.44;12;1
